channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
Logan Paul Vlogs,24,4394029,320053,5931,46245,13.09,,,,,,,,,,
Apple,28,7860119,185853,26679,0,13.09,,,,,,,,,,
PewDiePie,22,5845909,576597,39774,170708,13.09,,,,,,,,,,
The Verge,28,2642103,24975,4542,12829,13.09,,,,,,,,,,
jacksfilms,23,1168130,96666,568,6666,13.09,,,,,,,,,,
A24,1,1311445,34507,544,3040,13.09,,,,,,,,,,
Late Night with Seth Meyers,23,666169,9985,297,1071,13.09,,,,,,,,,,
Marques Brownlee,28,1728614,74062,2180,15297,13.09,,,,,,,,,,
RomanAtwoodVlogs,22,1338533,69687,678,5643,13.09,,,,,,,,,,
Screen Junkies,1,1056891,29943,878,4046,13.09,,,,,,,,,,
CollegeHumor,23,859289,34485,726,1914,13.09,,,,,,,,,,
Awkward Puppets,23,452477,28050,405,2745,13.09,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,258781,8085,303,726,13.09,,,,,,,,,,
MTV,24,274358,9215,477,838,13.09,,,,,,,,,,
America's Got Talent,24,473691,14740,415,1696,13.09,,,,,,,,,,
Jonathan Morrison,28,514972,18936,641,3817,13.09,,,,,,,,,,
Wong Fu Productions,24,282858,14870,300,1398,13.09,,,,,,,,,,
ProZD,1,1582683,65749,1531,3598,13.09,,,,,,,,,,
You Suck At Cooking,26,479951,23945,640,1941,13.09,,,,,,,,,,
Paramount Pictures,1,2693468,7941,302,1432,13.09,,,,,,,,,,
FergieVEVO,10,815608,66420,3578,5550,13.09,,,,,,,,,,
Al Jazeera English,25,382525,1521,270,1168,13.09,,,,,,,,,,
TMZ,24,703750,2921,2196,1042,13.09,,,,,,,,,,
SUPERFRUIT,24,255967,21817,293,2017,13.09,,,,,,,,,,
Kid Rock,10,96872,3498,482,439,13.09,,,,,,,,,,
NFL,17,743947,6126,352,2438,13.09,,,,,,,,,,
Dude Perfect,17,10535242,384920,7550,23855,13.09,,,,,,,,,,
First We Feast,26,483360,16258,245,1588,13.09,,,,,,,,,,
LastWeekTonight,24,3298456,65730,4360,9504,13.09,,,,,,,,,,
grav3yardgirl,26,321297,15424,280,3317,13.09,,,,,,,,,,
Radiohead,10,752844,42290,359,3250,13.09,,,,,,,,,,
Wendover Productions,27,602127,19575,658,2510,13.09,,,,,,,,,,
WatchCut Video,24,136643,6218,127,524,13.09,,,,,,,,,,
Vox,25,244433,9143,6826,4838,13.09,,,,,,,,,,
Rooster Teeth,1,917643,25456,731,1073,13.09,,,,,,,,,,
Rclbeauty101,24,796896,39791,1252,3868,13.09,,,,,,,,,,
Watch What Happens Live with Andy Cohen,24,2932,71,3,15,13.09,,,,,,,,,,
USA TODAY,25,224532,490,772,597,13.09,,,,,,,,,,
Casey Holmes,26,246389,15314,247,1842,13.09,,,,,,,,,,
Movieclips Trailers,1,165647,3712,142,524,13.09,,,,,,,,,,
The School of Life,27,162818,9531,416,1079,13.09,,,,,,,,,,
LANYVEVO,10,163656,19183,137,2154,13.09,,,,,,,,,,
The Late Late Show with James Corden,24,220661,2070,449,352,13.09,,,,,,,,,,
thataylaa,26,142039,9889,130,1224,13.09,,,,,,,,,,
Wil Dasovich,22,807779,26521,522,5996,13.09,,,,,,,,,,
Nyma Tang,26,1936893,74587,1060,6558,13.09,,,,,,,,,,
